ID,Price,Levy,Manufacturer,Model,year,Category,Leather interior,Engine volume,Mileage,Cylinders,Doors,Wheel,Color,Airbags,Engine Type,Gear box type_Automatic,Gear box type_Manual,Gear box type_Tiptronic,Gear box type_Variator,Drive wheels_FWD,Drive wheels_RWD,Fuel_Diesel,Fuel_Hybrid,Fuel_Hydrogen,Fuel_LPG,Fuel_Petrol,Fuel_Plug-in Hybrid,Engine_Volume_Log
45654403,13328.0,1399,LEXUS,RX 450,0.8765432098765444,Jeep,1,1.5040773967762742,0.6396933607159366,6.0,04-May,1,Silver,0.75,0,1,0,0,0,0,0,False,True,False,False,False,False,0.9179203620158715
44731507,16621.0,1018,CHEVROLET,Equinox,0.8888888888888893,Jeep,0,1.3862943611198906,0.6966270887851784,6.0,04-May,1,Black,0.5,0,0,0,1,0,0,0,False,False,False,False,True,False,0.8697416861919438
45774419,8467.0,-,HONDA,FIT,0.8271604938271615,Hatchback,0,0.832909122935104,0.7713457746557569,4.0,04-May,0,Black,0.125,0,0,0,0,1,1,0,False,False,False,False,True,False,0.6059043893061568
45769185,3607.0,862,FORD,Escape,0.8888888888888893,Jeep,1,1.252762968495368,0.47309875590915246,4.0,04-May,1,White,0.375,0,1,0,0,0,0,0,False,True,False,False,False,False,0.8121574488561436
45809263,11726.0,446,HONDA,FIT,0.9259259259259274,Hatchback,1,0.832909122935104,-0.4034156345364328,4.0,04-May,1,Silver,0.25,0,1,0,0,0,1,0,False,False,False,False,True,False,0.6059043893061568
45802912,39493.0,891,HYUNDAI,Santa FE,0.9506172839506171,Jeep,1,1.0986122886681098,0.3918667676954329,4.0,04-May,1,White,0.25,0,1,0,0,0,1,0,True,False,False,False,False,False,0.7412763113750153
45656768,1803.0,761,TOYOTA,Prius,0.8765432098765444,Hatchback,1,1.0296194171811581,1.2840662447997762,4.0,04-May,1,White,0.75,0,1,0,0,0,1,0,False,True,False,False,False,False,0.7078482962561655
45816158,13172.0,751,HYUNDAI,Sonata,0.9135802469135825,Sedan,1,1.2237754316221157,0.9178321363557459,4.0,04-May,1,Grey,0.75,0,1,0,0,0,1,0,False,False,False,False,True,False,0.7992063962999625
45641395,1098.0,394,TOYOTA,Camry,0.9259259259259274,Sedan,1,1.252762968495368,2.3146337786766935,4.0,04-May,1,Black,0.75,0,1,0,0,0,1,0,False,True,False,False,False,False,0.8121574488561436
45756839,26657.0,-,LEXUS,RX 350,0.8395061728395063,Jeep,1,1.5040773967762742,0.043225238301140535,6.0,04-May,1,Silver,0.75,0,1,0,0,0,0,0,False,False,False,False,True,False,0.9179203620158715
45621750,11917.5,1053,MERCEDES-BENZ,E 350,0.9259259259259274,Sedan,1,1.5040773967762742,0.6249519409737023,6.0,04-May,1,White,0.75,0,1,0,0,0,0,1,True,False,False,False,False,False,0.9179203620158715
45814819,8781.0,-,FORD,Transit,0.740740740740744,Microbus,0,1.6094379124341003,-2.2101465227056485,8.0,02-Mar,1,Blue,0.125,0,0,1,0,0,0,1,False,False,False,False,False,False,0.9591348389208239
45815568,3000.0,-,OPEL,Vectra,0.7160493827160508,Goods wagon,0,0.9555114450274363,1.9808052528997773,4.0,04-May,1,White,0.25,0,0,1,0,0,1,0,False,False,False,False,False,False,0.6706517679334237
45661288,1019.0,1055,LEXUS,RX 450,0.9135802469135825,Jeep,1,1.5040773967762742,0.14958011304286145,6.0,04-May,1,White,0.75,0,1,0,0,0,1,0,False,True,False,False,False,False,0.9179203620158715
45732604,59464.0,891,HYUNDAI,Santa FE,0.9506172839506171,Jeep,1,1.0986122886681098,-0.622823190278503,4.0,04-May,1,White,0.25,0,1,0,0,0,1,0,True,False,False,False,False,False,0.7412763113750153
45465200,17876.0,1079,TOYOTA,CHR,0.9753086419753103,Jeep,1,1.0986122886681098,-0.6497258050209401,4.0,04-May,1,White,0.75,0,1,0,0,0,1,0,False,False,False,False,True,False,0.7412763113750153
45772281,7683.0,810,HYUNDAI,Elantra,0.9506172839506171,Sedan,1,1.0296194171811581,-0.033202055805124864,4.0,04-May,1,Blue,0.75,0,1,0,0,0,1,0,False,False,False,False,True,False,0.7078482962561655
45797221,28382.0,810,HYUNDAI,Elantra,0.9506172839506171,Sedan,1,1.0296194171811581,-0.9596420092226595,4.0,04-May,1,White,0.25,0,1,0,0,0,1,0,False,False,False,False,True,False,0.7078482962561655
45772104,13172.0,2386,HYUNDAI,Sonata,0.8271604938271615,Sedan,1,1.4586150226995167,1.5722512890439069,6.0,04-May,1,Blue,0.75,0,1,0,0,0,0,1,False,False,False,False,True,False,0.8995981924982445
45653306,8154.0,1850,LEXUS,RX 400,0.8518518518518547,Jeep,1,1.5040773967762742,2.0837686437579217,6.0,04-May,1,Black,0.75,0,1,0,0,0,0,0,False,True,False,False,False,False,0.9179203620158715
45801686,18826.0,531,HYUNDAI,Elantra,0.9012345679012377,Sedan,1,0.9555114450274363,-0.14194796199252682,4.0,04-May,1,Silver,0.25,0,1,0,0,0,1,0,False,False,False,False,True,False,0.6706517679334237
45168471,20698.0,586,TOYOTA,Prius,0.9012345679012377,Sedan,1,1.0296194171811581,0.6492004339649922,4.0,04-May,1,White,0.75,0,1,0,0,0,1,0,False,False,False,False,False,True,0.7078482962561655
